paper_id,keywords
10.4230/LIPIcs.ICDT.2023.14,#P-hardness
10.4230/LIPIcs.ICDT.2023.14,probabilistic databases
10.4230/LIPIcs.ICDT.2023.14,Uniform reliability
10.4230/LIPIcs.ICDT.2023.7,enumeration algorithms
10.4230/LIPIcs.ICDT.2023.7,query evaluation
10.4230/LIPIcs.ICDT.2023.7,SLP compression
10.4230/LIPIcs.ICDT.2023.5,median
10.4230/LIPIcs.ICDT.2023.5,order statistics
10.4230/LIPIcs.ICDT.2023.5,selection algorithms
10.4230/LIPIcs.ICDT.2023.5,sliding window
10.4230/LIPIcs.ICDT.2023.8,Berge-Acyclic Queries
10.4230/LIPIcs.ICDT.2023.8,Cardinality Bounding
10.4230/LIPIcs.ICDT.2023.8,Cardinality Estimation
10.4230/LIPIcs.ICDT.2023.8,Degree Bounds
10.4230/LIPIcs.ICDT.2023.8,Functional Approximation
10.4230/LIPIcs.ICDT.2023.8,Query Planning
10.4230/LIPIcs.ICDT.2023.22,attribute-level uncertainty
10.4230/LIPIcs.ICDT.2023.22,functional dependencies
10.4230/LIPIcs.ICDT.2023.22,most probable database
10.4230/LIPIcs.ICDT.2023.22,Probabilistic databases
10.4230/LIPIcs.ICDT.2024.15,approximation
10.4230/LIPIcs.ICDT.2024.15,Probabilistic query evaluation
10.4230/LIPIcs.ICDT.2024.15,tuple-independent databases
10.1145/3555776.3577772,bioinformatics
10.1145/3555776.3577772,high-performance computing
10.1145/3555776.3577772,lncRNA-RNA
10.1145/3555776.3577772,MPI
10.1145/3555776.3577772,OpenMP
10.1145/3555776.3577772,parallel computing
10.1109/ICRASET59632.2023.10420257,Alternative Safeguard
10.1109/ICRASET59632.2023.10420257,Authentication
10.1109/ICRASET59632.2023.10420257,Cloud Database
10.1109/ICRASET59632.2023.10420257,Ticket Booking
10.1109/ICRASET59632.2023.10420257,Ticket Checker
10.1007/s12530-023-09559-0,Arrhythmia
10.1007/s12530-023-09559-0,Convolutional Neural Network
10.1007/s12530-023-09559-0,Electrocardiogram
10.1007/s12530-023-09559-0,Residual Networks
10.1109/SIoT60039.2023.10389856,Alexa
10.1109/SIoT60039.2023.10389856,Connected Vehicles
10.1109/SIoT60039.2023.10389856,FastAPI
10.1109/SIoT60039.2023.10389856,Internet of Things
10.1109/SIoT60039.2023.10389856,Voice Assistants
10.1145/3539618.3592061,fairness
10.1145/3539618.3592061,independence
10.1145/3539618.3592061,inner product search
10.1109/ACCESS.2023.3349242,clinical decision support
10.1109/ACCESS.2023.3349242,continuous monitoring
10.1109/ACCESS.2023.3349242,ECG signal
10.1109/ACCESS.2023.3349242,heart rate variability
10.1109/ACCESS.2023.3349242,Sepsis
10.1109/ACCESS.2023.3349242,temporal convolutional networks
10.1109/ICITDA60835.2023.10426919,database design
10.1109/ICITDA60835.2023.10426919,health informatics
10.1109/ICITDA60835.2023.10426919,pre-eclampsia disease
10.1109/TC.2023.3329943,cloud computing
10.1109/TC.2023.3329943,database management systems
10.1109/TC.2023.3329943,Live migration
10.1109/TC.2023.3329943,system virtualization
10.1109/ICACTA58201.2023.10392861,language models
10.1109/ICACTA58201.2023.10392861,natural language interfaces
10.1109/ICACTA58201.2023.10392861,natural language processing
10.1109/ICACTA58201.2023.10392861,NLSQL
10.1145/3543873.3587563,Chase
10.1145/3543873.3587563,Data Provenance
10.1145/3543873.3587563,Research Data Management
10.1145/3543873.3587563,System Demo
10.1186/s13634-023-01094-z,Fractal dimension
10.1186/s13634-023-01094-z,Fractal geometry
10.1186/s13634-023-01094-z,Multi-fractal analysis
10.1186/s13634-023-01094-z,Power spectral densities (PSD)
10.1186/s13634-023-01094-z,The Drought Monitor database
10.1109/IEMENTech60402.2023.10423480,database
10.1109/IEMENTech60402.2023.10423480,edibility estimation
10.1109/IEMENTech60402.2023.10423480,explanatory data analysis
10.1109/IEMENTech60402.2023.10423480,FruityHub
10.1145/3592980.3595323,database accelerator
10.1145/3592980.3595323,Processing-in-Memory
10.1145/3592980.3595323,query processing
10.1007/s11760-024-03063-x,Electrocardiogram
10.1007/s11760-024-03063-x,Epilepsy
10.1007/s11760-024-03063-x,Epileptic seizures
10.1007/s11760-024-03063-x,Heart rate variability analysis
10.1007/s11760-024-03063-x,Prediction
10.1007/s11760-024-03063-x,Threshold
,artificial databases of biomedical images
,Breast cancer
,digital platform
,generative adversarial networks. training data sets
,image generation
10.3390/info15010034,columnar databases
10.3390/info15010034,linear time logic for finite traces
10.3390/info15010034,temporal formal verification
10.3390/info15010034,verified artificial intelligence
10.1007/s11042-024-18990-7,AHA database
10.1007/s11042-024-18990-7,Electrocardiogram
10.1007/s11042-024-18990-7,Feature extraction
10.1007/s11042-024-18990-7,Left and right atrium
10.1007/s11042-024-18990-7,Left and right ventricle
10.1007/s11042-024-18990-7,MIT-BIH arrhythmia database
10.1007/s11042-024-18990-7,Preprocessing
10.1007/s11042-023-16304-x,Cross-lingual database
10.1007/s11042-023-16304-x,Deep learning
10.1007/s11042-023-16304-x,EmoDB
10.1007/s11042-023-16304-x,Ensemble soft voting classifier
10.1007/s11042-023-16304-x,Gender-based emotion recognition
10.1007/s11042-023-16304-x,RAVDESS
10.1007/s11042-023-16304-x,Urdu language
10.1007/s11042-024-18461-z,Brain MR
10.1007/s11042-024-18461-z,Cross entropy
10.1007/s11042-024-18461-z,Image segmentation
10.1007/s11042-024-18461-z,Meta-heuristic
10.1007/s11042-024-18461-z,Moth-flame optimization
10.1016/j.commatsci.2024.112810,Biobased
10.1016/j.commatsci.2024.112810,de novo polymer design
10.1016/j.commatsci.2024.112810,Materials Informatics
10.1016/j.commatsci.2024.112810,Polymer database
10.1016/j.commatsci.2024.112810,Polymer design
10.1016/j.commatsci.2024.112810,Polymer informatics
10.1016/j.commatsci.2024.112810,Polymer library
10.1016/j.commatsci.2024.112810,QSPR
10.1016/j.commatsci.2024.112810,Quantitative structure–property relationships
10.1016/j.commatsci.2024.112810,Repeat unit
10.1016/j.commatsci.2024.112810,Repeat unit database
10.1016/j.commatsci.2024.112810,Repeat unit library
10.1016/j.procs.2023.12.161,administration tools
10.1016/j.procs.2023.12.161,concept of the Internet of Things
10.1016/j.procs.2023.12.161,educational platforms
10.1016/j.procs.2023.12.161,microservice technologies
10.1016/j.procs.2023.12.161,scientometrics
10.1016/j.procs.2023.12.161,selection of scientific partners
10.1109/DESSERT61349.2023.10416500,databases
10.1109/DESSERT61349.2023.10416500,digital infrastructure
10.1109/DESSERT61349.2023.10416500,dynamic databases
10.1109/DESSERT61349.2023.10416500,functional safety
10.1109/DESSERT61349.2023.10416500,small modular reactor
10.1142/S0219467825500561,Face recognition
10.1142/S0219467825500561,SCface database
10.1142/S0219467825500561,single sample per person (SSPP)
10.1142/S0219467825500561,virtual pose synthesizing
,biometric identification
,face recognition
,Information technology
10.1109/TC.2023.3326982,key-value storage
10.1109/TC.2023.3326982,Log-structured merge tree
10.1109/TC.2023.3326982,non-volatile memory
10.1145/3584372.3588667,complexity
10.1145/3584372.3588667,conjunctive query
10.1145/3584372.3588667,constant delay
10.1145/3584372.3588667,enumeration
10.1145/3584372.3588667,fine-grained
10.1145/3584372.3588667,self-joins
10.1016/j.csbj.2024.03.015,Binding sites
10.1016/j.csbj.2024.03.015,Databases
10.1016/j.csbj.2024.03.015,Pocket detection
10.1016/j.csbj.2024.03.015,Protein structure
10.1016/j.csbj.2024.03.015,Protein-ligand interaction
10.1016/j.csbj.2024.03.015,Structural bioinformatics
10.1016/j.bspc.2023.105465,Biometrics
10.1016/j.bspc.2023.105465,Electrocardiogram
10.1016/j.bspc.2023.105465,Fiducial
10.1016/j.bspc.2023.105465,Hybrid architecture
10.1016/j.bspc.2023.105465,Non-fiducial
10.1016/j.bspc.2023.105465,Outlier removal
10.1016/j.bspc.2023.105465,Pattern recognition
10.1016/j.bspc.2023.105465,Signal processing
10.1109/TKDE.2023.3310038,Data privacy
10.1109/TKDE.2023.3310038,oblivious index
10.1109/TKDE.2023.3310038,oblivious join
10.1109/TKDE.2023.3310038,oblivious RAM
10.3934/electreng.2024004,classification
10.3934/electreng.2024004,computed tomography scan
10.3934/electreng.2024004,deep learning
10.3934/electreng.2024004,detection
10.3934/electreng.2024004,Keуwоrds: Covid-19
10.3934/electreng.2024004,machine learning
10.3934/electreng.2024004,X-Ray images
10.1109/TMM.2023.3312851,Blind image quality assessment
10.1109/TMM.2023.3312851,Low-light image enhancement
10.1109/TMM.2023.3312851,optimization
10.1016/j.ins.2023.119847,Internet of things
10.1016/j.ins.2023.119847,Lossless compression
10.1016/j.ins.2023.119847,Time series database
10.1109/TSMC.2023.3301001,Broad learning (BL)
10.1109/TSMC.2023.3301001,convolution neural networks (CNNs)
10.1109/TSMC.2023.3301001,emotion recognition
10.1109/TSMC.2023.3301001,"humanâÂ€Â""robot interaction"
10.1109/TSMC.2023.3301001,long short-term memory (LSTM)
10.1109/JIOT.2024.3373783,Analytical models
10.1109/JIOT.2024.3373783,Cloud computing
10.1109/JIOT.2024.3373783,Computational modeling
10.1109/JIOT.2024.3373783,Databases
10.1109/JIOT.2024.3373783,Distributed databases
10.1109/JIOT.2024.3373783,exclusive lock
10.1109/JIOT.2024.3373783,multi-server cloud database
10.1109/JIOT.2024.3373783,Protocols
10.1109/JIOT.2024.3373783,quasi-static Rayleigh fading channel with multiple antennas
10.1109/JIOT.2024.3373783,queue system
10.1109/JIOT.2024.3373783,Servers
10.1109/JIOT.2024.3373783,shared lock
10.1016/j.csbj.2023.12.001,Biomarker
10.1016/j.csbj.2023.12.001,Cancer immunotherapy response
10.1016/j.csbj.2023.12.001,Inflammatory response
10.1016/j.csbj.2023.12.001,Tumor immunity
10.1109/JIOT.2024.3352016,Authentication
10.1109/JIOT.2024.3352016,authentication
10.1109/JIOT.2024.3352016,cross-domain
10.1109/JIOT.2024.3352016,Databases
10.1109/JIOT.2024.3352016,Privacy
10.1109/JIOT.2024.3352016,Protocols
10.1109/JIOT.2024.3352016,Real-time systems
10.1109/JIOT.2024.3352016,Security
10.1109/JIOT.2024.3352016,VANETs
10.1109/JIOT.2024.3352016,Vehicular ad hoc networks
10.1109/JIOT.2024.3352016,virtual identities
10.1109/VCIP59821.2023.10402708,Point cloud compression
10.1109/VCIP59821.2023.10402708,Point clouds
10.1109/VCIP59821.2023.10402708,Subjective quality
10.1117/12.3021828,Ferric citrate
10.1117/12.3021828,Hyperphosphatemia
10.1117/12.3021828,Iron deficiency anemia
10.1117/12.3021828,NDD-CKD
10.1145/3579856.3582826,inner product
10.1145/3579856.3582826,private intersection-sum
10.1145/3579856.3582826,private join and compute
10.1145/3579856.3582826,private set intersection
10.1145/3579856.3582826,secure computation
10.1145/3579856.3582826,two-party computation
10.1186/s12859-024-05764-z,Experimental conditions
10.1186/s12859-024-05764-z,Liquid–liquid phase separation
10.1186/s12859-024-05764-z,Machine learning
10.1186/s12859-024-05764-z,Protein
10.1186/s12859-024-05764-z,RNA
10.1016/j.future.2023.09.024,Artificial neural networks
10.1016/j.future.2023.09.024,Cloud database systems
10.1016/j.future.2023.09.024,Constrained performance optimization
10.1016/j.future.2023.09.024,Genetic algorithms
10.1109/DESSERT61349.2023.10416531,ambulatory blood pressure monitoring
10.1109/DESSERT61349.2023.10416531,data mining
10.1109/DESSERT61349.2023.10416531,data set clustering
10.1109/DESSERT61349.2023.10416531,machine learning algorithms
10.1145/3584372.3589935,bottom-$k$
10.1145/3584372.3589935,coordinated samples
10.1145/3584372.3589935,distance sketches
10.1145/3584372.3589935,ppswor
10.1145/3584372.3589935,weighted sampling
10.1145/3579027.3608990,database evolution
10.1145/3579027.3608990,software product lines
10.1109/LA-CCI58595.2023.10409478,federated learning
10.1109/LA-CCI58595.2023.10409478,image artifacts
10.1109/LA-CCI58595.2023.10409478,machine learning
10.1109/LA-CCI58595.2023.10409478,mammography
10.1109/ICSC58660.2023.10449764,Deep Learning (DL)
10.1109/ICSC58660.2023.10449764,Deep Neural Networks (DNN)
10.1109/ICSC58660.2023.10449764,Identification of Arabic Dialects
10.1109/ICSC58660.2023.10449764,MSA
10.1109/ICSC58660.2023.10449764,OAC
10.1109/ICSC58660.2023.10449764,Recurrent Neural Network (RNN)
10.1109/ICSC58660.2023.10449764,RMDL
10.1109/ICECA58529.2023.10395674,Cross-database
10.1109/ICECA58529.2023.10395674,Face spoof detection
10.1109/ICECA58529.2023.10395674,Gray-level co-occurrence matrix
10.1109/ICECA58529.2023.10395674,Histogram of gradient
10.1109/ICECA58529.2023.10395674,Random forest
10.1109/ICECA58529.2023.10395674,Spatial features
10.1109/ICAIHC59020.2023.10430485,anti-obesity
10.1109/ICAIHC59020.2023.10430485,molecular docking
10.1109/ICAIHC59020.2023.10430485,N-Acetylanonaine
10.1109/ICAIHC59020.2023.10430485,network pharmacology
10.1109/ICAIHC59020.2023.10430485,Tinosporacrispa
10.1109/IEMENTech60402.2023.10423464,automated floral species identification
10.1109/IEMENTech60402.2023.10423464,BongFloralpedia
10.1109/IEMENTech60402.2023.10423464,deep neural networks
10.1109/IEMENTech60402.2023.10423464,floriculture
10.1109/IEMENTech60402.2023.10423464,flower image database
10.1109/ICEFEET59656.2023.10452246,face database
10.1109/ICEFEET59656.2023.10452246,Heterogeneous face recognition
10.1109/ICEFEET59656.2023.10452246,NIR-VIS face recognition
10.1109/ICEFEET59656.2023.10452246,Sketch-VIS face recognition
10.4230/LIPIcs.MFCS.2023.39,Dynamic Complexity
10.4230/LIPIcs.MFCS.2023.39,Planar embedding
10.4230/LIPIcs.MFCS.2023.39,Planar graphs
10.1109/TBIOM.2023.3327287,african
10.1109/TBIOM.2023.3327287,biometric entropy
10.1109/TBIOM.2023.3327287,demographic differentials
10.1109/TBIOM.2023.3327287,equity measure
10.1109/TBIOM.2023.3327287,Ethnicity
10.1109/TBIOM.2023.3327287,iris recognition
10.1016/j.patcog.2023.110166,Dynamic data
10.1016/j.patcog.2023.110166,Erasable pattern mining
10.1016/j.patcog.2023.110166,Incremental mining
10.1016/j.patcog.2023.110166,Maximal erasable patterns
10.1109/JBHI.2023.3311677,artificial intelligence
10.1109/JBHI.2023.3311677,Big Data
10.1109/JBHI.2023.3311677,biometrics
10.1109/JBHI.2023.3311677,Databases
10.1109/JBHI.2023.3311677,datasets
10.1109/JBHI.2023.3311677,gait
10.1109/JBHI.2023.3311677,healthcare
10.1109/JBHI.2023.3311677,human locomotion
10.1109/JBHI.2023.3311677,motion capture
10.1109/JBHI.2023.3311677,recognition
10.1504/IJESDF.2024.136024,database security'
10.1504/IJESDF.2024.136024,database threats
10.1504/IJESDF.2024.136024,integrity
10.1504/IJESDF.2024.136024,machine learning
10.1504/IJESDF.2024.136024,security techniques
10.1145/3584371.3612990,computational genomics
10.1145/3584371.3612990,distributed computing
10.1145/3584371.3612990,genotyping algorithms
10.1109/IC-RVITM60032.2023.10435190,Alignment Estimation
10.1109/IC-RVITM60032.2023.10435190,Detection
10.1109/IC-RVITM60032.2023.10435190,Modified KLT Algorithm
10.1109/IC-RVITM60032.2023.10435190,Tracking
10.4230/LIPIcs.ICDT.2023.6,Conjunctive Queries
10.4230/LIPIcs.ICDT.2023.6,Subgraph Pattern Counting
10.4230/LIPIcs.ICDT.2023.6,Subgraph Pattern Listing
10.1145/3584372.3588666,conjunctive queries
10.1145/3584372.3588666,join algorithms
10.1145/3584372.3588666,lower bounds
10.1145/3584372.3588666,sampling
10.1109/TMM.2023.3312924,3D colored mesh
10.1109/TMM.2023.3312924,Mesh saliency detection
10.1109/TMM.2023.3312924,mesh simplification
10.1109/TMM.2023.3312924,visual attention
10.1145/3580305.3599395,database middleware
10.1145/3580305.3599395,pre-trained language model
10.1145/3580305.3599395,trojan attack
10.1142/S0129065724500126,Automatic seizure detection
10.1142/S0129065724500126,bidirectional long short-term memory
10.1142/S0129065724500126,EEG
10.1142/S0129065724500126,temporal convolutional network
10.1016/j.compbiomed.2024.108066,Cancer
10.1016/j.compbiomed.2024.108066,Database
10.1016/j.compbiomed.2024.108066,Prediction
10.1016/j.compbiomed.2024.108066,Synthetic lethality (SL)
10.1145/3618257.3624843,bgp
10.1145/3618257.3624843,internet routing registry
10.1145/3618257.3624843,routing security
10.3390/s24020507,bacterial infection
10.3390/s24020507,deep learning
10.3390/s24020507,directly smeared urine sample
10.3390/s24020507,micro-hyperspectral technology
10.3390/s24020507,positive–negative determination
10.3390/s24020507,spectral feature
10.1109/ICEDCS60513.2023.00084,database tables
10.1109/ICEDCS60513.2023.00084,E-R diagram
10.1109/ICEDCS60513.2023.00084,learning system
10.1109/ICEDCS60513.2023.00084,mathematics subjects
10.1109/JBHI.2023.3337261,dual-teacher
10.1109/JBHI.2023.3337261,Insomnia
10.1109/JBHI.2023.3337261,knowledge distillation
10.1109/JBHI.2023.3337261,PSG staging
10.1109/JBHI.2023.3337261,transfer learning
10.1007/s11042-023-15139-w,Classification schemes
10.1007/s11042-023-15139-w,Databases
10.1007/s11042-023-15139-w,Expression recognition
10.1007/s11042-023-15139-w,Facial expressions recognition
10.1007/s11042-023-15139-w,Features
10.1007/s11042-023-15139-w,Image processing
10.36680/j.itcon.2024.006,bi-lingual analysis
10.36680/j.itcon.2024.006,building maintenance
10.36680/j.itcon.2024.006,facilities management
10.36680/j.itcon.2024.006,Machine learning
10.36680/j.itcon.2024.006,natural language processing
10.36680/j.itcon.2024.006,text mining
10.1016/j.eswa.2023.121924,Complex flows
10.1016/j.eswa.2023.121924,Data reconstruction
10.1016/j.eswa.2023.121924,Deep learning
10.1016/j.eswa.2023.121924,Fluid dynamics
10.1016/j.eswa.2023.121924,PDE surrogates
10.1016/j.eswa.2023.121924,Singular value decomposition
10.1109/DSC61021.2023.10354217,cyber risk evaluation
10.1109/DSC61021.2023.10354217,mobile security
10.1109/DSC61021.2023.10354217,software security
10.4230/LIPIcs.ICDT.2024.4,aggregate queries
10.4230/LIPIcs.ICDT.2024.4,annotated databases
10.4230/LIPIcs.ICDT.2024.4,answer orderings
10.4230/LIPIcs.ICDT.2024.4,commutative semirings
10.4230/LIPIcs.ICDT.2024.4,conjunctive queries
10.4230/LIPIcs.ICDT.2024.4,direct access
10.4230/LIPIcs.ICDT.2024.4,provenance semirings
10.4230/LIPIcs.ICDT.2024.4,query classification
10.4230/LIPIcs.ICDT.2024.4,ranking function
10.1145/3595647.3595651,Concurrency
10.1145/3595647.3595651,Merkle Trees
10.1145/3595647.3595651,Outsourced Databases
10.1145/3595647.3595651,Verifiable Databases
10.1145/3630202.3630225,databases
10.1145/3630202.3630225,embedded
10.1145/3630202.3630225,serverless
10.1145/3617694.3623223,AI harms
10.1145/3617694.3623223,AI safety
10.1145/3617694.3623223,classroom exploration
10.1145/3617694.3623223,educational tool
10.1145/3617694.3623223,incident database
10.1007/s12559-023-10193-w,Deep learning for script identification
10.1007/s12559-023-10193-w,Document analysis
10.1007/s12559-023-10193-w,Handcrafted features for script identification
10.1007/s12559-023-10193-w,Multi-lingual database
10.1007/s12559-023-10193-w,Multi-script database
10.1007/s12559-023-10193-w,Optical character recognition
10.1007/s12559-023-10193-w,Script identification
10.4230/LIPIcs.ICDT.2023.24,conjunctive queries
10.4230/LIPIcs.ICDT.2023.24,consistent query answering
10.4230/LIPIcs.ICDT.2023.24,primary keys
10.3390/s24051686,advanced aerial mobility
10.3390/s24051686,database
10.3390/s24051686,flight hazards
10.3390/s24051686,helicopter operations
10.3390/s24051686,low-altitude flight
10.1145/3615522.3615555,Algorithmic Generation
10.1145/3615522.3615555,Database Aesthetics
10.1145/3615522.3615555,Deep Learning
10.1145/3615522.3615555,Found Footage
10.1145/3615522.3615555,Video
10.1016/j.compbiomed.2024.108220,Cardiotocography
10.1016/j.compbiomed.2024.108220,Fetal hypoxia
10.1016/j.compbiomed.2024.108220,Machine learning
10.1016/j.compbiomed.2024.108220,Obstetrics
10.1016/j.compbiomed.2024.108220,Signal processing
10.1016/j.compgeo.2024.106249,Dynamically installed anchor (DIA)
10.1016/j.compgeo.2024.106249,Experimental database
10.1016/j.compgeo.2024.106249,Holding capacity
10.1016/j.compgeo.2024.106249,Machine learning (ML)
10.1016/j.compgeo.2024.106249,Penetration depth
10.1016/j.iswa.2023.200310,Automatic speech recognition (ASR)
10.1016/j.iswa.2023.200310,Kannada database
10.1016/j.iswa.2023.200310,NOIZEUS database
10.1016/j.iswa.2023.200310,Normalized covariance metric (NCM)
10.1016/j.iswa.2023.200310,Optimal smoothing and minimum controlled (OSMC)
10.1016/j.iswa.2023.200310,Perceptual evaluation of speech quality (PESQ)
10.1016/j.iswa.2023.200310,Recursive averaging
10.1016/j.iswa.2023.200310,Speech enhancement
10.1007/s11042-024-18298-6,Butterfly optimization algorithm
10.1007/s11042-024-18298-6,Convolutional neural network
10.1007/s11042-024-18298-6,Long short-term memory network
10.1007/s11042-024-18298-6,Speaker recognition
10.1007/s11042-024-18298-6,Speech signal
10.1109/ICITES59818.2023.10356864,database alarm
10.1109/ICITES59818.2023.10356864,dynamic matching
10.1109/ICITES59818.2023.10356864,event extraction
10.1109/ICITES59818.2023.10356864,GCN
10.1109/ICITES59818.2023.10356864,self-attention mechanism
10.1109/ICEDCS60513.2023.00131,Database optimization query
10.1109/ICEDCS60513.2023.00131,Distance education
10.1109/ICEDCS60513.2023.00131,Student behavior analysis
10.1007/s11042-023-15959-w,Affective analysis
10.1007/s11042-023-15959-w,EmoMatchSpanishDB
10.1007/s11042-023-15959-w,Language resources
10.1007/s11042-023-15959-w,Machine learning
10.1007/s11042-023-15959-w,Speech emotion recognition
10.1109/ACII59096.2023.10388135,affective computing
10.1109/ACII59096.2023.10388135,content analysis
10.1109/ACII59096.2023.10388135,database
10.1109/ACII59096.2023.10388135,emotion elicitation
10.1109/ACII59096.2023.10388135,movie clips
10.1109/ACII59096.2023.10388135,multimodal
10.1109/ACII59096.2023.10388135,subjectivity
10.1109/BIOSIG58226.2023.10345994,child biometrics
10.1109/BIOSIG58226.2023.10345994,contactless palmprint recognition
10.1109/BIOSIG58226.2023.10345994,contactless palmprint recognition for children
10.1007/s11042-023-15714-1,Downsampling
10.1007/s11042-023-15714-1,Heart Sound Signal
10.1007/s11042-023-15714-1,Pattern Matching
10.1007/s11042-023-15714-1,Phonocardiography
10.1007/s11042-023-15714-1,Signal Compression
,Database
,Exasol
,Machine Learning
,SQL
10.1145/3620678.3624656,Decision Forest
10.1145/3620678.3624656,Machine Learning System
10.1016/j.ins.2024.120262,Data mining
10.1016/j.ins.2024.120262,Minimum side effects
10.1016/j.ins.2024.120262,Privacy-preserving
10.1016/j.ins.2024.120262,Rare pattern
10.1109/TII.2023.3297139,Cyber-physical systems security
10.1109/TII.2023.3297139,data mining
10.1109/TII.2023.3297139,deception attack
10.1109/TII.2023.3297139,false data injection attack (FDIA)
10.1109/TII.2023.3297139,sequential pattern mining
10.1109/ICIC60109.2023.10381942,Data anonymization
10.1109/ICIC60109.2023.10381942,data utility
10.1109/ICIC60109.2023.10381942,inference attack
10.1109/ICIC60109.2023.10381942,sensitive information
10.1109/ICIC60109.2023.10381942,transaction database
10.1109/MICC59384.2023.10419720,Behavioural Prediction
10.1109/MICC59384.2023.10419720,BPNN
10.1109/MICC59384.2023.10419720,Edge Computing
10.1109/MICC59384.2023.10419720,Industrial loT
10.1109/MICC59384.2023.10419720,Time-Series Database
10.1109/ICDACAI59742.2023.00127,data analysis
10.1109/ICDACAI59742.2023.00127,Database system
10.1109/ICDACAI59742.2023.00127,intelligent operation
10.1109/ICDACAI59742.2023.00127,machine learning
10.1109/ICDACAI59742.2023.00127,monitor
10.1016/j.sasc.2023.200070,Database
10.1016/j.sasc.2023.200070,Emotion
10.1016/j.sasc.2023.200070,Human-computer interaction
10.1016/j.sasc.2023.200070,Learner modeling
10.1016/j.sasc.2023.200070,New Year Painting
10.1109/AMCAI59331.2023.10431516,classification
10.1109/AMCAI59331.2023.10431516,dysphonia
10.1109/AMCAI59331.2023.10431516,machine learning
10.1109/AMCAI59331.2023.10431516,Parkinson's disease
10.1109/AMCAI59331.2023.10431516,sustained vowel
10.1109/AMCAI59331.2023.10431516,voice analysis
10.1109/AMCAI59331.2023.10431516,voice descriptors
10.4230/LIPIcs.ICDT.2024.20,axiom
10.4230/LIPIcs.ICDT.2024.20,conditional independence
10.4230/LIPIcs.ICDT.2024.20,decomposition
10.4230/LIPIcs.ICDT.2024.20,functional dependency
10.4230/LIPIcs.ICDT.2024.20,semiring
10.1016/j.media.2024.103087,Ischemia
10.1016/j.media.2024.103087,Localization
10.1016/j.media.2024.103087,Myocardial infarction
10.1016/j.media.2024.103087,Sparse representation
