title,abstract,pages,DOI,link,year
The Extent of AI Applications in EFL Learning and Teaching,"Foreign language teaching, like almost all other aspects of human existence, has been substantially influenced by recent advances in modern information and communication technologies, such as augmented reality, virtual reality, and artificial intelligence (AI). Although AI has been in use for almost 30 years, educators remain skeptical toward the use of AI-technology in the education field more broadly, and how its use might meaningfully affect English language skills. Through a systematic review, this work seeks to provide a summary of the available literature with regard to the applications of AI in English as a foreign language (EFL) education. This review considers a wide range of AI technologies and methodologies, with a specific focus on the integration of AI into the realm of EFL education. The review then delineates the possible effects of AI in terms of developing students' language skills, students' and teachers' perceptions of using AI applications, and the difficulties and challenges inherent to implementing AI applications. The discussion culminates by identifying research gaps.  © 2008-2011 IEEE.",653-663,10.1109/TLT.2023.3322128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174856569&doi=10.1109%2fTLT.2023.3322128&partnerID=40&md5=5f64c3668a1e2f25551eebcbff77d473,2020
Graph Based Frequent Item Set Generation in Association Rule Mining,"This research proposes a new technique that uses a reconstruction strategy for categorical datasets to preserve the privacy of the association rules. In order to identify all frequent item association sets and determine sets comprising frequent items based on the association sets, the suggested technique takes advantage of the two-item permutation set to create an association part. The enhanced method scans the database only once, addressing a flaw in the conventional approach that scans the database twice and so increasing scanning costs. The database and association sets can be mined using the two-item permutation set, which has the advantages of operating more quickly, requiring less memory, and being simple to maintain. © 2023 IEEE.",-,10.1109/NEleX59773.2023.10421720,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186521089&doi=10.1109%2fNEleX59773.2023.10421720&partnerID=40&md5=7a9dbdd5ddfbc652cf77f6ee045b1454,2021
Uniform Reliability for Unbounded Homomorphism-Closed Graph Queries,"We study the uniform query reliability problem, which asks, for a fixed Boolean query Q, given an instance I, how many subinstances of I satisfy Q. Equivalently, this is a restricted case of Boolean query evaluation on tuple-independent probabilistic databases where all facts must have probability 1/2. We focus on graph signatures, and on queries closed under homomorphisms. We show that for any such query that is unbounded, i.e., not equivalent to a union of conjunctive queries, the uniform reliability problem is #P-hard. This recaptures the hardness, e.g., of s-t connectedness, which counts how many subgraphs of an input graph have a path between a source and a sink. This new hardness result on uniform reliability strengthens our earlier hardness result on probabilistic query evaluation for unbounded homomorphism-closed queries [2]. Indeed, our earlier proof crucially used facts with probability 1, so it did not apply to the unweighted case. The new proof presented in this paper avoids this; it uses our recent hardness result on uniform reliability for non-hierarchical conjunctive queries without self-joins [3], along with new techniques. © Antoine Amarilli; licensed under Creative Commons License CC-BY 4.0 26th International Conference on Database Theory (ICDT 2023)",-,10.4230/LIPIcs.ICDT.2023.14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150689465&doi=10.4230%2fLIPIcs.ICDT.2023.14&partnerID=40&md5=81b2e0da0ba9e0bb66fa0c4922b4ea3c,2019
Constant-Delay Enumeration for SLP-Compressed Documents,"We study the problem of enumerating results from a query over a compressed document. The model we use for compression are straight-line programs (SLPs), which are defined by a context-free grammar that produces a single string. For our queries we use a model called Annotated Automata, an extension of regular automata that allows annotations on letters. This model extends the notion of Regular Spanners as it allows arbitrarily long outputs. Our main result is an algorithm which evaluates such a query by enumerating all results with output-linear delay after a preprocessing phase which takes linear time on the size of the SLP, and cubic time over the size of the automaton. This is an improvement over Schmid and Schweikardt's result [25], which, with the same preprocessing time, enumerates with a delay which is logarithmic on the size of the uncompressed document. We achieve this through a persistent data structure named Enumerable Compact Sets with Shifts which guarantees output-linear delay under certain restrictions. These results imply constant-delay enumeration algorithms in the context of regular spanners. Further, we use an extension of annotated automata which utilizes succinctly encoded annotations to save an exponential factor from previous results that dealt with constant-delay enumeration over vset automata. Lastly, we extend our results in the same fashion Schmid and Schweikardt did [26] to allow complex document editing while maintaining the constant-delay guarantee. © Martín Muñoz and Cristian Riveros; licensed under Creative Commons License CC-BY 4.0 26th International Conference on Database Theory (ICDT 2023)",-,10.4230/LIPIcs.ICDT.2023.7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150741210&doi=10.4230%2fLIPIcs.ICDT.2023.7&partnerID=40&md5=f86643bece6c0811e1c46bc42a73a223,2020
An Optimal Algorithm for Sliding Window Order Statistics,"Assume there is a data stream of elements and a window of size m. Sliding window algorithms compute various statistic functions over the last m elements of the data stream seen so far. The time complexity of a sliding window algorithm is measured as the time required to output an updated statistic function value every time a new element is read. For example, it is well known that computing the sliding window maximum/minimum has time complexity O(1) while computing the sliding window median has time complexity O(log m). In this paper we close the gap between these two cases by (1) presenting an algorithm for computing the sliding window k-th smallest element in O(log k) time and (2) prove that this time complexity is optimal. © Pavel Raykov; licensed under Creative Commons License CC-BY 4.0 26th International Conference on Database Theory (ICDT 2023)",-,10.4230/LIPIcs.ICDT.2023.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150697484&doi=10.4230%2fLIPIcs.ICDT.2023.5&partnerID=40&md5=7194d8e7664eaf88bc328eaa84793cbf,2021
Degree Sequence Bound for Join Cardinality Estimation,"Recent work has demonstrated the catastrophic effects of poor cardinality estimates on query processing time. In particular, underestimating query cardinality can result in overly optimistic query plans which take orders of magnitude longer to complete than one generated with the true cardinality. Cardinality bounding avoids this pitfall by computing an upper bound on the query's output size using statistics about the database such as table sizes and degrees, i.e. value frequencies. In this paper, we extend this line of work by proving a novel bound called the Degree Sequence Bound which takes into account the full degree sequences and the max tuple multiplicity. This work focuses on the important class of Berge-Acyclic queries for which the Degree Sequence Bound is tight. Further, we describe how to practically compute this bound using a functional approximation of the true degree sequences and prove that even this functional form improves upon previous bounds. © Kyle Deeds, Dan Suciu, Magda Balazinska, and Walter Cai; licensed under Creative Commons License CC-BY 4.0 26th International Conference on Database Theory (ICDT 2023)",-,10.4230/LIPIcs.ICDT.2023.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150714940&doi=10.4230%2fLIPIcs.ICDT.2023.8&partnerID=40&md5=872abd1c45c29e1b3feb98a79a641102,2022
The Consistency of Probabilistic Databases with Independent Cells,"A probabilistic database with attribute-level uncertainty consists of relations where cells of some attributes may hold probability distributions rather than deterministic content. Such databases arise, implicitly or explicitly, in the context of noisy operations such as missing data imputation, where we automatically fill in missing values, column prediction, where we predict unknown attributes, and database cleaning (and repairing), where we replace the original values due to detected errors or violation of integrity constraints. We study the computational complexity of problems that regard the selection of cell values in the presence of integrity constraints. More precisely, we focus on functional dependencies and study three problems: (1) deciding whether the constraints can be satisfied by any choice of values, (2) finding a most probable such choice, and (3) calculating the probability of satisfying the constraints. The data complexity of these problems is determined by the combination of the set of functional dependencies and the collection of uncertain attributes. We give full classifications into tractable and intractable complexities for several classes of constraints, including a single dependency, matching constraints, and unary functional dependencies. © Amir Gilad, Aviram Imber, and Benny Kimelfeld; licensed under Creative Commons License CC-BY 4.0 26th International Conference on Database Theory (ICDT 2023)",-,10.4230/LIPIcs.ICDT.2023.22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150732684&doi=10.4230%2fLIPIcs.ICDT.2023.22&partnerID=40&md5=98f997b6e3eb76b73b6e3834b8533726,2023
Conjunctive Queries on Probabilistic Graphs: The Limits of Approximability,"Query evaluation over probabilistic databases is a notoriously intractable problem - not only in combined complexity, but for many natural queries in data complexity as well [7, 14]. This motivates the study of probabilistic query evaluation through the lens of approximation algorithms, and particularly of combined FPRASes, whose runtime is polynomial in both the query and instance size. In this paper, we focus on tuple-independent probabilistic databases over binary signatures, which can be equivalently viewed as probabilistic graphs. We study in which cases we can devise combined FPRASes for probabilistic query evaluation in this setting. We settle the complexity of this problem for a variety of query and instance classes, by proving both approximability and (conditional) inapproximability results. This allows us to deduce many corollaries of possible independent interest. For example, we show how the results of [8] on counting fixed-length strings accepted by an NFA imply the existence of an FPRAS for the two-terminal network reliability problem on directed acyclic graphs: this was an open problem until now [37]. We also show that one cannot extend a recent result [34] that gives a combined FPRAS for self-join-free conjunctive queries of bounded hypertree width on probabilistic databases: neither the bounded-hypertree-width condition nor the self-join-freeness hypothesis can be relaxed. Finally, we complement all our inapproximability results with unconditional lower bounds, showing that DNNF provenance circuits must have at least moderately exponential size in combined complexity. © Antoine Amarilli, Timothy van Bremen, and Kuldeep S. Meel.",-,10.4230/LIPIcs.ICDT.2024.15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188638620&doi=10.4230%2fLIPIcs.ICDT.2024.15&partnerID=40&md5=e5dff7400b4953bf7d95ffeda07f095f,2021
Parallel construction of RNA databases for extensive lncRNA-RNA interaction prediction,"Long non-coding RNA sequences (lncRNAs) have completely changed how scientists approach genetics. While some believe that many lncRNAs are results of spurious transcriptions, recent evidence suggests that there exist thousands of them and that they have functions and regulate key biological processes. For the experimental characterization of lncRNAs, many tools that try to predict their interactions with other RNAs have been developed. Some of the fastest and more accurate tools, however, require a slow database construction step prior to the identification of interaction partners for each lncRNA. This paper presents a novel and efficient parallel database construction procedure. Benchmarking results on a 16-node multicore cluster show that our parallel algorithm can build databases up to 318 times faster than other tools in the market using just 256 CPU cores. All the code developed in this work is available to download at GitHub under the MIT License (https://github.com/UDC-GAC/pRIblast).  © 2023 Owner/Author(s).",555-558,10.1145/3555776.3577772,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162887452&doi=10.1145%2f3555776.3577772&partnerID=40&md5=79a0d9ffbb22a69cb8a846dff7065db3,2020
Cloud Based Online Bus Ticket System,"The current system for booking bus tickets is reliant on humans and can be cumbersome. This project aims to develop a web application that simplifies the ticket booking process, allowing students, employees, and anyone else to easily book bus tickets. Unlike existing applications that only provide information on travel destinations and fares, the application not only facilitates ticket booking but also stores the tickets in a secure cloud database. Users can purchase tickets using their smartphones or laptops through the web application, eliminating the need to carry physical railway tickets. The ticketing information is securely stored in the cloud database, and a ticket checker application is provided to authenticate user tickets. The ticket checker can search for a user's ticket in the cloud database using the ticket number or relevant information for verification purposes. In case a user's display is damaged or there are issues like battery failure preventing the display of the ticket, there was an alternative safeguard option. The ticket can be validated by searching the ticket database using the ticket number or other relevant user information. © 2023 IEEE.",-,10.1109/ICRASET59632.2023.10420257,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186098675&doi=10.1109%2fICRASET59632.2023.10420257&partnerID=40&md5=17e7d4fd64d9d1fd96b0e78f39651321,2022
An enhanced ResNet-50 deep learning model for arrhythmia detection using electrocardiogram biomedical indicators,"Electrocardiogram (ECG) is one among the most common detecting techniques in the analysis and detection of cardiac arrhythmia adopted due to its cost efficiency and simplicity. In a clinical routine, ECG database is collected on daily basis and these databases are reviewed manually. Along with other conventional methods, various approaches using machine learning has been proposed in the past few years. But these would require in-depth knowledge on several parameters and pre-processing techniques in the specific domain. This study is aimed at implementing a more reliable deep learning model that has the capacity to diagnose arrhythmia from a database with 109,446 samples in 5 different categories. In our proposed work, we have used deep learning methodologies for the diagnosis and detection of cardiac arrhythmia automatically. Balancing the biasedness in the waveforms from MIT-BIH arrhythmia database, model is developed. MIT-BIH arrhythmia database with the ECG waveforms promises good accuracy. This automated prediction of the disease using CNN and ResNet-18 architectures are compared in terms of accuracy. CNN has accuracy approximately 97.86% and 98.14% for improved ResNet-18. Also, a comparative analysis is done with the proposed model and already existing techniques. Several limitations and future opportunities are also reviewed. We believe it can be used considerably for cardiac arrhythmia prediction worldwide. Based on the results obtained, ResNet-18 architecture can be used as an efficient procedure, that reduces the burden of training a deep convolutional neural network from start, resulting in a technique that is simple to use. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",83-97,10.1007/s12530-023-09559-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180687186&doi=10.1007%2fs12530-023-09559-0&partnerID=40&md5=c4ac860135f24b6d2b4b34b6b9b53fde,2021
A Voice-Assisted Approach for Vehicular Data Querying from Automotive IoT-Based Databases,"The automotive industry's transformative conver-gence of cutting-edge technologies, such as the Internet of Things (loT), electronic voice assistants, and custom APls, have paved the way for a remarkable array of opportunities to enhance vehicle security while revolutionizing user-car interactions. Actually, when leveraging loT sensors of multiple types and configurations, their produced, collected, and stored real-time data may offer in-depth and comprehensive insights into vehicle information, opening many possibilities when loT-generated databases are created. In this context, the primary goal of this paper is to create a new approach based on the popular Amazon Alexa voice assistant, which would allow facilitated queries of vehicular data from cloud-based databases. For that, a new Alexa service (skill) is created, as well as a custom API, allowing easy access to different types of data previously retrieved from vehicular sensors and properly stored. Doing so, the implemented skill indirectly processes data from loT sensors through the custom API, enabling users to access vital vehicular information using intuitive voice commands, remotely. A case study in a real scenario is conducted to validate and confirm the feasibility of real-time vehicle information access, showcasing the benefits of the proposed approach when combined with other solutions in a macro vehicular-centric loT ecosystem.  © 2023 IEEE.",-,10.1109/SIoT60039.2023.10389856,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184816143&doi=10.1109%2fSIoT60039.2023.10389856&partnerID=40&md5=9b5e6dc75a8b82662a35a56212621c06,2021
Simpler is Much Faster: Fair and Independent Inner Product Search,"The problem of inner product search (IPS) is important in many fields. Although maximum inner product search (MIPS) is often considered, its result is usually skewed and static. Users are hence hard to obtain diverse and/or new items by using the MIPS problem. Motivated by this, we formulate a new problem, namely the fair and independent IPS problem. Given a query, a threshold, and an output size k, this problem randomly samples k items from a set of items such that the inner product of the query and item is not less than the threshold. For each item that satisfies the threshold, this problem is fair, because the probability that such an item is outputted is equal to that for each other item. This fairness can yield diversity and novelty, but this problem faces a computational challenge. Some existing (M)IPS techniques can be employed in this problem, but they require O(n) or o(n) time, where n is the dataset size. To scale well to large datasets, we propose a simple yet efficient algorithm that runs in O(logn + k) expected time. We conduct experiments using real datasets, and the results demonstrate that our algorithm is up to 330 times faster than baselines. © 2023 Copyright held by the owner/author(s).",2379-2383,10.1145/3539618.3592061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168650384&doi=10.1145%2f3539618.3592061&partnerID=40&md5=80cd7cae838f80d4b4820983043f6506,2022
